deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence
EAT_2,1,left,red,negative,negative
EAT_2,2,right,yellow,unknown,negative
EAT_2,3,left,green,positive,positive
EAT_2,4,right,green,positive,positive
EAT_2,5,left,red,negative,negative
EAT_2,6,left,red,negative,negative
EAT_2,7,right,green,positive,positive
EAT_2,8,right,red,negative,negative
EAT_2,9,left,green,positive,positive
EAT_2,10,right,yellow,unknown,negative
EAT_2,11,right,green,positive,positive
EAT_2,12,left,green,positive,positive
EAT_2,13,right,red,negative,negative
EAT_2,14,left,yellow,unknown,positive
EAT_2,15,left,green,positive,positive
EAT_2,16,right,green,positive,positive
EAT_2,17,left,yellow,unknown,positive
EAT_2,18,left,yellow,unknown,positive
EAT_2,19,right,green,positive,positive
EAT_2,20,left,red,negative,negative
EAT_2,21,left,yellow,unknown,negative
EAT_2,22,left,red,negative,negative
EAT_2,23,right,green,positive,positive
EAT_2,24,left,red,negative,negative
EAT_2,25,left,red,negative,negative
EAT_2,26,right,yellow,unknown,negative
EAT_2,27,right,yellow,unknown,negative
EAT_2,28,left,red,negative,negative
EAT_2,29,right,yellow,unknown,negative
EAT_2,30,right,red,negative,negative
EAT_2,31,left,green,positive,positive
EAT_2,32,left,red,negative,negative
EAT_2,33,right,yellow,unknown,positive
EAT_2,34,left,yellow,unknown,negative
EAT_2,35,right,yellow,unknown,negative
EAT_2,36,right,green,positive,positive
EAT_2,37,right,yellow,unknown,negative
EAT_2,38,left,green,positive,positive
EAT_2,39,right,yellow,unknown,positive
EAT_2,40,right,green,positive,positive
EAT_2,41,left,yellow,unknown,negative
EAT_2,42,left,green,positive,positive
EAT_2,43,right,red,negative,negative
EAT_2,44,right,yellow,unknown,negative
EAT_2,45,left,green,positive,positive
EAT_2,46,left,red,negative,negative
EAT_2,47,left,green,positive,positive
EAT_2,48,left,red,negative,negative
EAT_2,49,left,green,positive,positive
EAT_2,50,right,green,positive,positive
EAT_2,51,right,yellow,unknown,positive
EAT_2,52,right,yellow,unknown,negative
EAT_2,53,left,green,positive,positive
EAT_2,54,left,yellow,unknown,positive
EAT_2,55,right,red,negative,negative
EAT_2,56,right,red,negative,negative
EAT_2,57,right,green,positive,positive
EAT_2,58,left,red,negative,negative
EAT_2,59,left,red,negative,negative
EAT_2,60,left,red,negative,negative
EAT_2,61,right,yellow,unknown,negative
EAT_2,62,left,green,positive,positive
EAT_2,63,right,red,negative,negative
EAT_2,64,left,green,positive,positive
EAT_2,65,left,red,negative,negative
EAT_2,66,left,red,negative,negative
EAT_2,67,left,yellow,unknown,positive
EAT_2,68,right,green,positive,positive
EAT_2,69,right,yellow,unknown,positive
EAT_2,70,left,green,positive,positive
EAT_2,71,right,red,negative,negative
EAT_2,72,left,yellow,unknown,positive
EAT_2,73,left,red,negative,negative
EAT_2,74,right,yellow,unknown,positive
EAT_2,75,left,yellow,unknown,positive
EAT_2,76,right,red,negative,negative
EAT_2,77,left,red,negative,negative
EAT_2,78,left,yellow,unknown,positive
EAT_2,79,right,yellow,unknown,positive
EAT_2,80,right,green,positive,positive
EAT_2,81,right,green,positive,positive
EAT_2,82,right,yellow,unknown,positive
EAT_2,83,left,green,positive,positive
EAT_2,84,right,yellow,unknown,positive
EAT_2,85,right,green,positive,positive
EAT_2,86,right,red,negative,negative
EAT_2,87,right,green,positive,positive
EAT_2,88,right,red,negative,negative
EAT_2,89,left,red,negative,negative
EAT_2,90,right,yellow,unknown,negative
