deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence,image_valence,image_category,image_path,fix_dur,arrow_dur,isi1_dur,cue_dur,anticip_dur,image_dur,iti_dur,event_code_arrow,event_code_cue,event_code_image
EAT_2,1,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N128_Negative Circumstances.jpg,0.65,0.648,0.349,1.901,2.712,2.545,2.504,10,30,204
EAT_2,2,right,yellow,unknown,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N85_Injury_Wounds_Blood (Gory).jpg,0.62,0.967,0.314,1.453,2.118,2.794,2.007,10,40,203
EAT_2,3,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P81_Landscapes_Nature.jpg,0.71,0.801,0.499,1.266,2.309,2.973,3.255,10,20,103
EAT_2,4,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P62_Landscapes_Nature.jpg,0.873,0.641,0.388,1.165,3.102,2.473,3.918,10,20,103
EAT_2,5,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N112_Negative Circumstances.bmp,0.916,0.587,0.253,1.471,2.243,2.168,3.713,10,30,204
EAT_2,6,left,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N20_Dead Animals.jpg,0.941,0.764,0.324,1.139,2.78,2.053,3.066,10,30,201
EAT_2,7,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P43_Landscapes_Nature.jpg,0.57,0.761,0.488,1.587,3.54,2.37,3.953,10,20,103
EAT_2,8,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N101_Injury_Wounds_Blood (Gory).jpg,0.745,0.545,0.441,1.431,3.144,2.13,2.578,10,30,203
EAT_2,9,left,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P135_People_Children.bmp,0.68,0.685,0.33,1.018,3.378,2.851,2.13,10,20,105
EAT_2,10,right,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N149_Negative Circumstances.jpg,0.518,0.825,0.479,1.438,3.278,2.081,2.523,10,40,204
EAT_2,11,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P77_Landscapes_Nature.jpg,0.58,0.569,0.401,1.721,3.812,2.839,2.094,10,20,103
EAT_2,12,left,green,positive,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P198_Recreation_Sports.jpg,0.594,0.918,0.292,1.494,3.878,2.237,2.588,10,20,107
EAT_2,13,right,red,negative,negative,negative,Threatening_Animals,"stimuli/pools/Negative (Organized)/Threatening Animals (Snakes, Spiders, etc)/N206_Threatening Animals (Snakes, Spiders, etc).bmp",0.579,0.95,0.474,1.738,3.424,2.217,2.897,10,30,207
EAT_2,14,left,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P92_Landscapes_Nature.jpg,0.761,0.64,0.426,1.791,3.508,2.978,2.724,10,40,103
EAT_2,15,left,green,positive,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P31_Cute Animals.bmp,0.949,0.869,0.415,1.52,2.731,2.451,2.8,10,20,101
EAT_2,16,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P122_People_Children.jpg,0.527,0.679,0.407,1.525,3.609,2.461,3.955,10,20,105
EAT_2,17,left,yellow,unknown,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P178_Positive People.jpg,0.979,0.847,0.455,1.786,2.793,2.744,2.087,10,40,106
EAT_2,18,left,yellow,unknown,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P13_Cute Animals.jpg,0.685,0.9,0.396,1.586,3.559,2.354,3.254,10,40,101
EAT_2,19,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P54_Landscapes_Nature.jpg,0.776,0.601,0.401,1.962,3.955,2.121,2.025,10,20,103
EAT_2,20,left,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N12_Dead Animals.jpg,0.871,0.96,0.256,1.346,3.486,2.941,3.29,10,30,201
EAT_2,21,left,yellow,unknown,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N70_Injury_Wounds_Blood (Gory).bmp,0.678,0.652,0.265,1.01,3.456,2.765,2.111,10,40,203
EAT_2,22,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N88_Injury_Wounds_Blood (Gory).jpg,0.625,0.508,0.268,1.097,2.641,2.661,3.18,10,30,203
EAT_2,23,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P145_People_Children.jpg,0.956,0.689,0.315,1.787,2.798,2.802,3.615,10,20,105
EAT_2,24,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N117_Negative Circumstances.bmp,0.574,0.765,0.461,1.082,2.958,2.112,2.009,10,30,204
EAT_2,25,left,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N159_Negative Objects.jpg,0.526,0.555,0.307,1.192,2.445,2.133,2.999,10,30,205
EAT_2,26,right,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N132_Negative Circumstances.jpg,0.593,0.717,0.207,1.791,2.388,2.526,3.447,10,40,204
EAT_2,27,right,yellow,unknown,negative,negative,Dead_People,stimuli/pools/Negative (Organized)/Dead People/N41_Dead People.bmp,0.795,0.98,0.439,1.783,2.596,2.35,2.315,10,40,202
EAT_2,28,left,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N23_Dead Animals.bmp,0.686,0.757,0.295,1.696,2.674,2.438,2.325,10,30,201
EAT_2,29,right,yellow,unknown,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N71_Injury_Wounds_Blood (Gory).jpg,0.782,0.658,0.415,1.741,2.076,2.454,2.577,10,40,203
