deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence
EAT_5,1,left,green,positive,positive
EAT_5,2,right,green,positive,positive
EAT_5,3,right,green,positive,positive
EAT_5,4,right,yellow,unknown,negative
EAT_5,5,right,green,positive,positive
EAT_5,6,right,red,negative,negative
EAT_5,7,right,red,negative,negative
EAT_5,8,left,green,positive,positive
EAT_5,9,right,green,positive,positive
EAT_5,10,right,yellow,unknown,positive
EAT_5,11,right,yellow,unknown,negative
EAT_5,12,right,red,negative,negative
EAT_5,13,left,yellow,unknown,positive
EAT_5,14,left,green,positive,positive
EAT_5,15,right,green,positive,positive
EAT_5,16,left,yellow,unknown,positive
EAT_5,17,left,red,negative,negative
EAT_5,18,left,red,negative,negative
EAT_5,19,right,green,positive,positive
EAT_5,20,left,green,positive,positive
EAT_5,21,right,green,positive,positive
EAT_5,22,right,red,negative,negative
EAT_5,23,left,red,negative,negative
EAT_5,24,right,yellow,unknown,positive
EAT_5,25,right,red,negative,negative
EAT_5,26,left,green,positive,positive
EAT_5,27,right,red,negative,negative
EAT_5,28,left,yellow,unknown,negative
EAT_5,29,left,red,negative,negative
EAT_5,30,left,green,positive,positive
EAT_5,31,right,green,positive,positive
EAT_5,32,right,red,negative,negative
EAT_5,33,left,green,positive,positive
EAT_5,34,left,green,positive,positive
EAT_5,35,right,yellow,unknown,negative
EAT_5,36,right,yellow,unknown,positive
EAT_5,37,right,green,positive,positive
EAT_5,38,right,red,negative,negative
EAT_5,39,left,red,negative,negative
EAT_5,40,left,green,positive,positive
EAT_5,41,left,green,positive,positive
EAT_5,42,right,yellow,unknown,negative
EAT_5,43,left,yellow,unknown,negative
EAT_5,44,right,red,negative,negative
EAT_5,45,left,red,negative,negative
EAT_5,46,left,yellow,unknown,positive
EAT_5,47,left,green,positive,positive
EAT_5,48,right,green,positive,positive
EAT_5,49,right,green,positive,positive
EAT_5,50,right,yellow,unknown,negative
EAT_5,51,right,red,negative,negative
EAT_5,52,left,yellow,unknown,positive
EAT_5,53,left,red,negative,negative
EAT_5,54,right,red,negative,negative
EAT_5,55,left,red,negative,negative
EAT_5,56,left,green,positive,positive
EAT_5,57,left,green,positive,positive
EAT_5,58,left,yellow,unknown,negative
EAT_5,59,left,red,negative,negative
EAT_5,60,left,green,positive,positive
EAT_5,61,right,yellow,unknown,positive
EAT_5,62,right,yellow,unknown,positive
EAT_5,63,right,red,negative,negative
EAT_5,64,left,green,positive,positive
EAT_5,65,left,yellow,unknown,negative
EAT_5,66,left,yellow,unknown,positive
EAT_5,67,left,yellow,unknown,negative
EAT_5,68,right,green,positive,positive
EAT_5,69,right,red,negative,negative
EAT_5,70,left,red,negative,negative
EAT_5,71,left,yellow,unknown,negative
EAT_5,72,right,yellow,unknown,negative
EAT_5,73,right,yellow,unknown,negative
EAT_5,74,left,red,negative,negative
EAT_5,75,left,yellow,unknown,positive
EAT_5,76,right,yellow,unknown,negative
EAT_5,77,left,yellow,unknown,negative
EAT_5,78,left,red,negative,negative
EAT_5,79,right,red,negative,negative
EAT_5,80,left,yellow,unknown,positive
EAT_5,81,right,green,positive,positive
EAT_5,82,left,yellow,unknown,positive
EAT_5,83,left,red,negative,negative
EAT_5,84,left,yellow,unknown,negative
EAT_5,85,right,red,negative,negative
EAT_5,86,right,green,positive,positive
EAT_5,87,right,green,positive,positive
EAT_5,88,right,red,negative,negative
EAT_5,89,right,red,negative,negative
EAT_5,90,left,yellow,unknown,positive
