deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence,image_valence,image_category,image_path,fix_dur,arrow_dur,isi1_dur,cue_dur,anticip_dur,image_dur,iti_dur,event_code_arrow,event_code_cue,event_code_image
EAT_5,1,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P96_Landscapes_Nature.jpg,0.687,1.0,0.374,1.862,3.873,2.446,2.35,10,20,103
EAT_5,2,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P90_Landscapes_Nature.jpg,0.539,0.892,0.413,1.51,3.858,2.234,3.551,10,20,103
EAT_5,3,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P161_People_Children.jpg,0.616,0.956,0.301,1.662,2.474,2.29,2.931,10,20,105
EAT_5,4,right,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N120_Negative Circumstances.jpg,0.803,0.903,0.233,1.876,3.964,2.982,3.833,10,40,204
EAT_5,5,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P89_Landscapes_Nature.jpg,0.79,0.731,0.374,1.479,2.337,2.183,2.965,10,20,103
EAT_5,6,right,red,negative,negative,negative,Threatening_Animals,"stimuli/pools/Negative (Organized)/Threatening Animals (Snakes, Spiders, etc)/N198_Threatening Animals (Snakes, Spiders, etc).jpg",0.588,0.723,0.416,1.06,3.962,2.746,3.425,10,30,207
EAT_5,7,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N73_Injury_Wounds_Blood (Gory).jpg,0.832,0.53,0.355,1.149,3.805,2.035,2.327,10,30,203
EAT_5,8,left,green,positive,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P203_Recreation_Sports.jpg,0.637,0.887,0.278,1.257,3.732,2.051,3.461,10,20,107
EAT_5,9,right,green,positive,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P176_Positive People.jpg,0.534,0.879,0.336,1.064,3.035,2.262,3.564,10,20,106
EAT_5,10,right,yellow,unknown,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P146_People_Children.jpg,0.695,0.764,0.433,1.034,3.081,2.29,3.8,10,40,105
EAT_5,11,right,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N113_Negative Circumstances.jpg,0.816,0.892,0.208,1.528,2.918,2.106,3.682,10,40,204
EAT_5,12,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N2_Dead Animals.bmp,0.788,0.991,0.244,1.402,2.534,2.745,3.062,10,30,201
EAT_5,13,left,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P47_Landscapes_Nature.jpg,0.993,0.53,0.286,1.749,2.494,2.673,3.301,10,40,103
EAT_5,14,left,green,positive,positive,positive,Food_Drinks,stimuli/pools/Positive (Organized)/Positive (Organized)/Food_Drinks/P39_Food_Drinks.jpg,0.76,0.601,0.389,1.801,2.579,2.553,3.095,10,20,102
EAT_5,15,right,green,positive,positive,positive,Objects_Positive,"stimuli/pools/Positive (Organized)/Positive (Organized)/Objects_Positive (Gifts, Pleasant Scenes)/P109_Objects_Positive (Gifts, Pleasant Scenes).jpg",0.727,0.896,0.416,1.335,2.218,2.413,2.988,10,20,104
EAT_5,16,left,yellow,unknown,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P24_Cute Animals.jpg,0.912,0.891,0.259,1.869,2.23,2.21,2.716,10,40,101
EAT_5,17,left,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N36_Dead Animals.bmp,0.549,0.561,0.232,1.49,3.546,2.001,3.698,10,30,201
EAT_5,18,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N115_Negative Circumstances.jpg,0.825,0.727,0.348,1.816,3.117,2.349,2.567,10,30,204
EAT_5,19,right,green,positive,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P224_Recreation_Sports.jpg,0.627,0.922,0.206,1.043,2.632,2.012,3.951,10,20,107
EAT_5,20,left,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P153_People_Children.jpg,0.674,0.747,0.437,1.047,3.722,2.783,2.854,10,20,105
EAT_5,21,right,green,positive,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P183_Positive People.bmp,0.966,0.723,0.365,1.377,2.673,2.476,3.18,10,20,106
EAT_5,22,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N89_Injury_Wounds_Blood (Gory).jpg,0.665,0.747,0.463,1.469,2.151,2.127,2.165,10,30,203
EAT_5,23,left,red,negative,negative,negative,Sad_Negative_Facial_Expressions,stimuli/pools/Negative (Organized)/Sad_Negative Facial Expressions/N180_Sad_Negative Facial Expressions.jpg,0.678,0.654,0.491,1.425,2.388,2.7,2.915,10,30,206
