deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence,image_valence,image_category,image_path,fix_dur,arrow_dur,isi1_dur,cue_dur,anticip_dur,image_dur,iti_dur,event_code_arrow,event_code_cue,event_code_image
EAT_1,1,left,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P65_Landscapes_Nature.jpg,0.779,0.648,0.241,1.481,3.553,2.673,3.324,10,40,103
EAT_1,2,right,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N134_Negative Circumstances.jpg,0.914,0.664,0.425,1.975,2.47,2.315,3.785,10,30,204
EAT_1,3,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N80_Injury_Wounds_Blood (Gory).jpg,0.924,0.98,0.363,1.373,3.803,2.372,3.594,10,30,203
EAT_1,4,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P73_Landscapes_Nature.jpg,0.906,0.917,0.268,1.812,2.419,2.452,3.702,10,20,103
EAT_1,5,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N135_Negative Circumstances.bmp,0.57,0.636,0.222,1.251,2.832,2.474,3.674,10,30,204
EAT_1,6,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N14_Dead Animals.jpg,0.946,0.84,0.285,1.586,2.29,2.367,3.832,10,30,201
EAT_1,7,left,green,positive,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P191_Positive People.jpg,0.761,0.64,0.405,1.913,3.656,2.51,3.927,10,20,106
EAT_1,8,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N106_Injury_Wounds_Blood (Gory).jpg,0.997,0.679,0.298,1.759,2.958,2.593,3.533,10,30,203
EAT_1,9,right,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N121_Negative Circumstances.jpg,0.724,0.585,0.347,1.292,3.636,2.26,2.008,10,30,204
EAT_1,10,left,yellow,unknown,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P154_People_Children.jpg,0.876,0.967,0.481,1.86,2.359,2.953,3.817,10,40,105
EAT_1,11,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P44_Landscapes_Nature.jpg,0.609,0.946,0.321,1.689,2.842,2.84,3.207,10,20,103
EAT_1,12,right,yellow,unknown,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P162_People_Children.jpg,0.921,0.846,0.448,1.118,2.513,2.07,3.572,10,40,105
EAT_1,13,left,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N13_Dead Animals.jpg,0.726,0.752,0.336,1.095,3.456,2.68,3.048,10,30,201
