deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence
EAT_1,1,left,yellow,unknown,positive
EAT_1,2,right,red,negative,negative
EAT_1,3,right,red,negative,negative
EAT_1,4,left,green,positive,positive
EAT_1,5,left,red,negative,negative
EAT_1,6,right,red,negative,negative
EAT_1,7,left,green,positive,positive
EAT_1,8,left,red,negative,negative
EAT_1,9,right,red,negative,negative
EAT_1,10,left,yellow,unknown,positive
EAT_1,11,right,green,positive,positive
EAT_1,12,right,yellow,unknown,positive
EAT_1,13,left,red,negative,negative
EAT_1,14,right,red,negative,negative
EAT_1,15,left,green,positive,positive
EAT_1,16,left,green,positive,positive
EAT_1,17,left,red,negative,negative
EAT_1,18,right,yellow,unknown,positive
EAT_1,19,right,green,positive,positive
EAT_1,20,right,yellow,unknown,negative
EAT_1,21,right,green,positive,positive
EAT_1,22,right,red,negative,negative
EAT_1,23,right,green,positive,positive
EAT_1,24,left,green,positive,positive
EAT_1,25,left,yellow,unknown,positive
EAT_1,26,left,green,positive,positive
EAT_1,27,left,yellow,unknown,negative
EAT_1,28,right,red,negative,negative
EAT_1,29,left,yellow,unknown,positive
EAT_1,30,right,red,negative,negative
EAT_1,31,left,yellow,unknown,positive
EAT_1,32,left,green,positive,positive
EAT_1,33,left,green,positive,positive
EAT_1,34,left,yellow,unknown,negative
EAT_1,35,right,green,positive,positive
EAT_1,36,left,yellow,unknown,positive
EAT_1,37,right,green,positive,positive
EAT_1,38,right,red,negative,negative
EAT_1,39,left,green,positive,positive
EAT_1,40,right,yellow,unknown,positive
EAT_1,41,left,yellow,unknown,positive
EAT_1,42,right,red,negative,negative
EAT_1,43,left,green,positive,positive
EAT_1,44,left,green,positive,positive
EAT_1,45,left,yellow,unknown,negative
EAT_1,46,right,red,negative,negative
EAT_1,47,left,green,positive,positive
EAT_1,48,left,yellow,unknown,negative
EAT_1,49,left,red,negative,negative
EAT_1,50,right,yellow,unknown,negative
EAT_1,51,left,green,positive,positive
EAT_1,52,left,green,positive,positive
EAT_1,53,left,yellow,unknown,positive
EAT_1,54,left,yellow,unknown,negative
EAT_1,55,right,red,negative,negative
EAT_1,56,right,yellow,unknown,positive
EAT_1,57,left,yellow,unknown,negative
EAT_1,58,left,yellow,unknown,positive
EAT_1,59,right,red,negative,negative
EAT_1,60,right,green,positive,positive
EAT_1,61,right,red,negative,negative
EAT_1,62,right,red,negative,negative
EAT_1,63,left,yellow,unknown,positive
EAT_1,64,left,yellow,unknown,negative
EAT_1,65,right,red,negative,negative
EAT_1,66,left,green,positive,positive
EAT_1,67,right,yellow,unknown,positive
EAT_1,68,left,green,positive,positive
EAT_1,69,right,red,negative,negative
EAT_1,70,right,green,positive,positive
EAT_1,71,right,red,negative,negative
EAT_1,72,right,yellow,unknown,positive
EAT_1,73,right,yellow,unknown,negative
EAT_1,74,right,yellow,unknown,positive
EAT_1,75,right,red,negative,negative
EAT_1,76,right,green,positive,positive
EAT_1,77,left,green,positive,positive
EAT_1,78,left,red,negative,negative
EAT_1,79,left,red,negative,negative
EAT_1,80,right,red,negative,negative
EAT_1,81,right,green,positive,positive
EAT_1,82,right,red,negative,negative
EAT_1,83,left,green,positive,positive
EAT_1,84,left,yellow,unknown,negative
EAT_1,85,right,red,negative,negative
EAT_1,86,right,red,negative,negative
EAT_1,87,left,green,positive,positive
EAT_1,88,right,green,positive,positive
EAT_1,89,right,yellow,unknown,positive
EAT_1,90,left,yellow,unknown,positive
