deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence,image_valence,image_category,image_path,fix_dur,arrow_dur,isi1_dur,cue_dur,anticip_dur,image_dur,iti_dur,event_code_arrow,event_code_cue,event_code_image
EAT_3,1,left,green,positive,positive,positive,Food_Drinks,stimuli/pools/Positive (Organized)/Positive (Organized)/Food_Drinks/P36_Food_Drinks.jpg,0.528,0.954,0.313,1.551,3.583,2.062,3.742,10,20,102
EAT_3,2,left,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P59_Landscapes_Nature.jpg,0.861,0.751,0.408,1.263,3.091,2.571,3.502,10,40,103
EAT_3,3,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N146_Negative Circumstances.jpg,0.846,0.589,0.237,1.547,3.594,2.627,3.812,10,30,204
EAT_3,4,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P94_Landscapes_Nature.jpg,0.658,0.54,0.396,1.683,2.916,2.942,3.013,10,20,103
EAT_3,5,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P144_People_Children.jpg,0.906,0.591,0.336,1.994,2.655,2.983,2.765,10,20,105
EAT_3,6,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N84_Injury_Wounds_Blood (Gory).jpg,0.529,0.529,0.343,1.085,2.257,2.973,3.435,10,30,203
EAT_3,7,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P70_Landscapes_Nature.jpg,0.91,0.67,0.25,1.919,3.428,2.13,3.111,10,20,103
EAT_3,8,left,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P141_People_Children.jpg,0.736,0.861,0.394,1.975,3.764,2.316,3.514,10,20,105
EAT_3,9,left,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N123_Negative Circumstances.jpg,0.546,0.542,0.304,1.282,2.846,2.834,2.538,10,40,204
EAT_3,10,right,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P72_Landscapes_Nature.jpg,0.654,0.55,0.476,1.182,2.56,2.745,2.868,10,40,103
EAT_3,11,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P41_Landscapes_Nature.jpg,0.875,0.501,0.265,1.839,3.7,2.13,2.738,10,20,103
EAT_3,12,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N27_Dead Animals.jpg,0.844,0.879,0.423,1.784,2.579,2.869,2.326,10,30,201
EAT_3,13,left,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P138_People_Children.bmp,0.617,0.551,0.484,1.048,3.448,2.708,3.502,10,20,105
EAT_3,14,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N75_Injury_Wounds_Blood (Gory).jpg,0.556,0.984,0.277,1.819,3.887,2.069,3.139,10,30,203
EAT_3,15,right,green,positive,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P19_Cute Animals.jpg,0.897,0.67,0.362,1.106,3.425,2.044,3.559,10,20,101
EAT_3,16,left,yellow,unknown,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P192B_Positive People.bmp,0.551,0.899,0.417,1.911,2.344,2.283,3.451,10,40,106
EAT_3,17,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N111_Negative Circumstances.jpg,0.582,0.64,0.272,1.384,2.04,2.876,3.776,10,30,204
EAT_3,18,right,yellow,unknown,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P168_Positive People.jpg,0.914,0.957,0.439,1.259,3.043,2.773,2.97,10,40,106
EAT_3,19,left,yellow,unknown,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N25_Dead Animals.jpg,0.514,0.742,0.217,1.585,3.725,2.434,3.577,10,40,201
EAT_3,20,left,yellow,unknown,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P209_Recreation_Sports.jpg,0.742,0.618,0.293,1.087,2.205,2.512,3.216,10,40,107
EAT_3,21,right,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N161_Negative Objects.jpg,0.592,0.832,0.214,1.565,2.004,2.771,2.958,10,30,205
EAT_3,22,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P42_Landscapes_Nature.jpg,0.526,0.77,0.326,1.467,3.175,2.482,2.628,10,20,103
EAT_3,23,left,yellow,unknown,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N68_Injury_Wounds_Blood (Gory).jpg,0.95,0.705,0.305,1.412,2.747,2.848,3.23,10,40,203
EAT_3,24,left,red,negative,negative,negative,Dead_People,stimuli/pools/Negative (Organized)/Dead People/N55_Dead People.jpg,0.773,0.875,0.273,1.707,2.527,2.012,2.525,10,30,202
EAT_3,25,right,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N147_Negative Circumstances.jpg,0.553,0.732,0.495,1.824,3.387,2.744,3.248,10,30,204
EAT_3,26,left,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N177_Negative Objects.jpg,0.638,0.925,0.376,1.978,3.778,2.675,2.681,10,30,205
EAT_3,27,left,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P152_People_Children.jpg,0.732,0.717,0.359,1.774,3.724,2.351,2.374,10,20,105
EAT_3,28,left,green,positive,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P30_Cute Animals.bmp,0.746,0.922,0.332,1.403,2.213,2.761,3.933,10,20,101
EAT_3,29,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N37_Dead Animals.jpg,0.781,0.51,0.278,1.645,3.311,2.335,2.389,10,30,201
EAT_3,30,right,green,positive,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P192_Positive People.jpg,0.768,0.875,0.233,1.812,2.221,2.043,3.069,10,20,106
EAT_3,31,right,yellow,unknown,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N5_Dead Animals.jpg,0.684,0.67,0.451,1.818,2.854,2.786,3.189,10,40,201
EAT_3,32,right,yellow,unknown,negative,negative,Sad_Negative_Facial_Expressions,stimuli/pools/Negative (Organized)/Sad_Negative Facial Expressions/N181_Sad_Negative Facial Expressions.bmp,0.501,0.762,0.258,1.489,2.483,2.94,3.984,10,40,206
EAT_3,33,left,yellow,unknown,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P207_Recreation_Sports.jpg,0.959,0.558,0.383,1.218,3.869,2.501,3.687,10,40,107
EAT_3,34,right,green,positive,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P7_Cute Animals.jpg,0.856,0.668,0.271,1.045,2.149,2.616,2.368,10,20,101
EAT_3,35,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N66_Injury_Wounds_Blood (Gory).jpg,0.882,0.51,0.464,1.621,2.888,2.501,2.596,10,30,203
EAT_3,36,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P58_Landscapes_Nature.jpg,0.979,0.67,0.354,1.089,3.003,2.216,3.442,10,20,103
EAT_3,37,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N64_Injury_Wounds_Blood (Gory).bmp,0.54,0.949,0.206,1.744,2.727,2.015,3.114,10,30,203
EAT_3,38,left,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N170_Negative Objects.jpg,0.742,0.67,0.223,1.931,2.971,2.244,3.77,10,30,205
EAT_3,39,right,green,positive,positive,positive,Objects_Positive,"stimuli/pools/Positive (Organized)/Positive (Organized)/Objects_Positive (Gifts, Pleasant Scenes)/P113_Objects_Positive (Gifts, Pleasant Scenes).jpg",0.984,0.919,0.499,1.193,3.248,2.241,3.707,10,20,104
EAT_3,40,right,red,negative,negative,negative,Threatening_Animals,"stimuli/pools/Negative (Organized)/Threatening Animals (Snakes, Spiders, etc)/N211_Threatening Animals (Snakes, Spiders, etc).bmp",0.971,0.764,0.432,1.745,2.556,2.368,2.768,10,30,207
EAT_3,41,left,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N122_Negative Circumstances.jpg,0.692,0.525,0.315,1.269,3.277,2.997,2.759,10,30,204
EAT_3,42,right,yellow,unknown,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P139_People_Children.bmp,0.587,0.561,0.242,1.473,2.376,2.817,3.93,10,40,105
EAT_3,43,right,yellow,unknown,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P1_Cute Animals.jpg,0.957,0.803,0.351,1.081,2.727,2.336,3.591,10,40,101
EAT_3,44,left,yellow,unknown,positive,positive,Objects_Positive,"stimuli/pools/Positive (Organized)/Positive (Organized)/Objects_Positive (Gifts, Pleasant Scenes)/P117_Objects_Positive (Gifts, Pleasant Scenes).jpg",0.966,0.501,0.385,1.619,2.773,2.53,2.135,10,40,104
EAT_3,45,right,red,negative,negative,negative,Dead_People,stimuli/pools/Negative (Organized)/Dead People/N44_Dead People.jpg,0.955,0.508,0.475,1.603,2.077,2.034,2.399,10,30,202
EAT_3,46,right,green,positive,positive,positive,Positive_People,stimuli/pools/Positive (Organized)/Positive (Organized)/Positive People/P188_Positive People.jpg,0.583,0.818,0.307,1.284,3.475,2.411,3.538,10,20,106
EAT_3,47,left,red,negative,negative,negative,Sad_Negative_Facial_Expressions,stimuli/pools/Negative (Organized)/Sad_Negative Facial Expressions/N192_Sad_Negative Facial Expressions.jpg,0.768,0.935,0.279,1.968,3.465,2.556,3.206,10,30,206
EAT_3,48,right,yellow,unknown,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P222_Recreation_Sports.jpg,0.654,0.97,0.345,1.341,2.015,2.374,2.08,10,40,107
EAT_3,49,left,yellow,unknown,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N26_Dead Animals.jpg,0.691,0.579,0.201,1.378,2.456,2.465,2.2,10,40,201
EAT_3,50,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P86_Landscapes_Nature.jpg,0.511,0.883,0.237,1.759,2.087,2.561,3.13,10,20,103
EAT_3,51,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N105_Injury_Wounds_Blood (Gory).jpg,0.555,0.655,0.286,1.287,2.305,2.006,2.005,10,30,203
EAT_3,52,left,yellow,unknown,positive,positive,Recreation_Sports,stimuli/pools/Positive (Organized)/Positive (Organized)/Recreation_Sports/P210_Recreation_Sports.jpg,0.838,0.873,0.243,1.733,3.329,2.146,3.925,10,40,107
EAT_3,53,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P124_People_Children.jpg,0.714,0.715,0.273,1.071,2.57,2.002,2.912,10,20,105
EAT_3,54,right,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N157_Negative Objects.bmp,0.598,0.644,0.297,1.814,3.922,2.72,3.807,10,30,205
EAT_3,55,right,yellow,unknown,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P16_Cute Animals.jpg,0.541,0.75,0.304,1.583,2.633,2.651,3.709,10,40,101
