deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence
EAT_3,1,left,green,positive,positive
EAT_3,2,left,yellow,unknown,positive
EAT_3,3,left,red,negative,negative
EAT_3,4,left,green,positive,positive
EAT_3,5,right,green,positive,positive
EAT_3,6,left,red,negative,negative
EAT_3,7,right,green,positive,positive
EAT_3,8,left,green,positive,positive
EAT_3,9,left,yellow,unknown,negative
EAT_3,10,right,yellow,unknown,positive
EAT_3,11,left,green,positive,positive
EAT_3,12,right,red,negative,negative
EAT_3,13,left,green,positive,positive
EAT_3,14,right,red,negative,negative
EAT_3,15,right,green,positive,positive
EAT_3,16,left,yellow,unknown,positive
EAT_3,17,left,red,negative,negative
EAT_3,18,right,yellow,unknown,positive
EAT_3,19,left,yellow,unknown,negative
EAT_3,20,left,yellow,unknown,positive
EAT_3,21,right,red,negative,negative
EAT_3,22,left,green,positive,positive
EAT_3,23,left,yellow,unknown,negative
EAT_3,24,left,red,negative,negative
EAT_3,25,right,red,negative,negative
EAT_3,26,left,red,negative,negative
EAT_3,27,left,green,positive,positive
EAT_3,28,left,green,positive,positive
EAT_3,29,right,red,negative,negative
EAT_3,30,right,green,positive,positive
EAT_3,31,right,yellow,unknown,negative
EAT_3,32,right,yellow,unknown,negative
EAT_3,33,left,yellow,unknown,positive
EAT_3,34,right,green,positive,positive
EAT_3,35,right,red,negative,negative
EAT_3,36,left,green,positive,positive
EAT_3,37,left,red,negative,negative
EAT_3,38,left,red,negative,negative
EAT_3,39,right,green,positive,positive
EAT_3,40,right,red,negative,negative
EAT_3,41,left,red,negative,negative
EAT_3,42,right,yellow,unknown,positive
EAT_3,43,right,yellow,unknown,positive
EAT_3,44,left,yellow,unknown,positive
EAT_3,45,right,red,negative,negative
EAT_3,46,right,green,positive,positive
EAT_3,47,left,red,negative,negative
EAT_3,48,right,yellow,unknown,positive
EAT_3,49,left,yellow,unknown,negative
EAT_3,50,right,green,positive,positive
EAT_3,51,right,red,negative,negative
EAT_3,52,left,yellow,unknown,positive
EAT_3,53,right,green,positive,positive
EAT_3,54,right,red,negative,negative
EAT_3,55,right,yellow,unknown,positive
EAT_3,56,left,green,positive,positive
EAT_3,57,right,green,positive,positive
EAT_3,58,right,yellow,unknown,positive
EAT_3,59,left,red,negative,negative
EAT_3,60,left,green,positive,positive
EAT_3,61,right,green,positive,positive
EAT_3,62,right,red,negative,negative
EAT_3,63,left,yellow,unknown,negative
EAT_3,64,right,yellow,unknown,positive
EAT_3,65,right,yellow,unknown,positive
EAT_3,66,left,green,positive,positive
EAT_3,67,right,green,positive,positive
EAT_3,68,left,yellow,unknown,positive
EAT_3,69,left,red,negative,negative
EAT_3,70,right,red,negative,negative
EAT_3,71,right,green,positive,positive
EAT_3,72,left,red,negative,negative
EAT_3,73,right,green,positive,positive
EAT_3,74,left,red,negative,negative
EAT_3,75,right,red,negative,negative
EAT_3,76,left,yellow,unknown,negative
EAT_3,77,left,red,negative,negative
EAT_3,78,left,red,negative,negative
EAT_3,79,left,yellow,unknown,negative
EAT_3,80,right,green,positive,positive
EAT_3,81,right,green,positive,positive
EAT_3,82,left,green,positive,positive
EAT_3,83,right,yellow,unknown,negative
EAT_3,84,left,red,negative,negative
EAT_3,85,left,yellow,unknown,positive
EAT_3,86,right,green,positive,positive
EAT_3,87,right,yellow,unknown,positive
EAT_3,88,right,yellow,unknown,positive
EAT_3,89,left,yellow,unknown,positive
EAT_3,90,right,red,negative,negative
